City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Kawardha,IN,88.25,clear sky,22.0167,81.25,STARiHOTELS Raipur Road kawardha
647,Umm Kaddadah,SD,83.93,few clouds,13.6017,26.6876,
653,Tabou,CI,77.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
656,Srivardhan,IN,81.63,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
657,Gizo,SB,83.98,clear sky,-8.103,156.8419,Imagination Island
658,New Castle,US,83.48,few clouds,41.0037,-80.347,Hampton Inn & Suites New Castle
662,Sonoita,MX,81.41,clear sky,31.85,-112.8333,Hotel internacional
667,Colares,PT,79.79,light rain,38.7992,-9.4469,Arribas Sintra Hotel
671,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
673,Daru,PG,82.72,broken clouds,-9.0763,143.2092,Daru Lodge
674,Mangrol,IN,82.06,clear sky,21.1167,70.1167,Hotel The Royal Honours
675,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
677,Teknaf,BD,80.46,overcast clouds,20.8624,92.3058,Forestry Guesthouse
679,Kolokani,ML,88.36,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
683,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
688,Utinga,BR,83.25,light rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
