City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Aquiraz,BR,-3.9014,-38.3911,82.49,81,92,5.46,overcast clouds
284,Miri,MY,4.4148,114.0089,75.34,100,20,2.3,few clouds
285,Necochea,AR,-38.5473,-58.7368,52.57,58,100,9.13,overcast clouds
286,Loum,CM,4.7182,9.7351,73.38,98,100,0.78,moderate rain
287,Ancud,CL,-41.8697,-73.8203,51.96,91,98,17.65,moderate rain
288,Dryden,CA,49.7833,-92.7503,37.69,93,100,9.22,overcast clouds
289,Punta Cardon,VE,11.6581,-70.215,81.55,72,100,32.86,overcast clouds
290,Chokurdakh,RU,70.6333,147.9167,34.12,100,100,6.46,overcast clouds
291,Thompson,CA,55.7435,-97.8558,37.56,65,100,14.97,overcast clouds
292,Bojnurd,IR,37.4747,57.329,60.75,77,20,20.71,few clouds
293,Svetlyy,RU,54.675,20.1347,50.05,97,100,6.11,overcast clouds
294,Betioky,MG,-23.7167,44.3833,66.33,55,23,4.74,few clouds
295,Dwarka,IN,22.2394,68.9678,81.95,78,1,20.0,clear sky
296,Port Lincoln,AU,-34.7333,135.8667,56.26,67,0,13.0,clear sky
297,Rockingham,US,42.9668,-71.0995,70.16,82,43,1.99,scattered clouds
298,Mukhen,RU,48.1,136.1,56.71,83,100,5.99,overcast clouds
299,Chifeng,CN,42.2683,118.9636,66.04,23,55,7.05,broken clouds
300,Jasper,US,37.2001,-94.3502,82.45,65,40,19.57,scattered clouds
301,Guerrero Negro,MX,27.9769,-114.0611,71.19,55,0,16.6,clear sky
302,Paragominas,BR,-2.9667,-47.4833,72.52,80,100,3.18,overcast clouds
303,Potiskum,NG,11.7091,11.0694,89.96,14,86,5.1,overcast clouds
304,Faanui,PF,-16.4833,-151.75,80.33,72,19,9.51,few clouds
305,Guinguineo,SN,14.2667,-15.95,85.82,66,0,4.61,clear sky
306,Marshall,US,34.3834,-86.3333,89.65,40,0,10.36,clear sky
307,Catumbela,AO,-12.4314,13.5472,70.45,77,21,1.57,few clouds
308,Taltal,CL,-25.4,-70.4833,63.57,67,98,2.15,overcast clouds
309,Viedma,AR,-40.8135,-62.9967,58.28,43,100,10.54,overcast clouds
310,Formosa,AR,-26.1775,-58.1781,58.98,77,0,3.44,clear sky
311,Nha Trang,VN,12.25,109.1833,78.8,91,100,4.83,overcast clouds
312,Korla,CN,41.7597,86.1469,72.72,28,49,11.45,scattered clouds
313,Camabatela,AO,-8.1881,15.375,62.24,89,17,1.23,few clouds
314,Katsuura,JP,35.1333,140.3,67.24,78,100,8.14,light rain
315,Smithers,CA,54.7804,-127.1743,57.52,33,75,6.91,light intensity shower rain
316,Batemans Bay,AU,-35.7167,150.1833,55.09,80,82,5.3,broken clouds
317,Paoua,CF,7.2427,16.4406,68.99,90,97,6.4,overcast clouds
318,Hervey Bay,AU,-25.2986,152.8535,65.01,96,100,11.99,moderate rain
319,Qala,AZ,40.4418,50.1681,55.29,82,40,9.22,scattered clouds
320,Katherine,AU,-14.4667,132.2667,70.12,73,0,4.61,clear sky
321,Hami,CN,42.8,93.45,69.73,35,9,10.25,clear sky
322,Napasar,IN,27.9667,73.55,86.5,40,15,21.79,few clouds
323,Kano,NG,12.0001,8.5167,89.15,21,67,2.44,broken clouds
324,Gigmoto,PH,13.7796,124.39,81.05,84,100,8.48,light rain
325,Garowe,SO,8.4054,48.4845,83.28,50,75,20.38,broken clouds
326,Trincomalee,LK,8.5711,81.2335,81.3,78,48,21.47,scattered clouds
327,Byron Bay,AU,-28.65,153.6167,60.71,80,100,12.93,moderate rain
328,Panguna,PG,-6.3164,155.4848,77.94,70,47,2.13,scattered clouds
329,Pyapon,MM,16.2833,95.6833,77.56,89,100,15.23,light rain
330,Isangel,VU,-19.55,169.2667,78.91,94,75,14.97,broken clouds
331,Asfi,MA,32.2994,-9.2372,66.29,90,43,4.92,scattered clouds
332,Bay Roberts,CA,47.5999,-53.2648,49.75,82,100,2.86,overcast clouds
333,South Lake Tahoe,US,38.9332,-119.9844,54.63,23,0,8.05,clear sky
334,Uwajima,JP,33.2238,132.56,60.78,86,100,5.44,overcast clouds
335,Medzilaborce,SK,49.2719,21.9007,59.83,87,66,1.99,broken clouds
